PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37953324","The Human Phenotype Ontology in 2024: phenotypes around the world","Gargano MA, Matentzoglu N, Coleman B, Addo-Lartey EB, Anagnostopoulos AV, Anderton J, Avillach P, Bagley AM, Bakštein E, Balhoff JP, Baynam G, Bello SM, Berk M, Bertram H, Bishop S, Blau H, Bodenstein DF, Botas P, Boztug K, Čady J, Callahan TJ, Cameron R, Carbon SJ, Castellanos F, Caufield JH, Chan LE, Chute CG, Cruz-Rojo J, Dahan-Oliel N, Davids JR, de Dieuleveult M, de Souza V, de Vries BBA, de Vries E, DePaulo JR, Derfalvi B, Dhombres F, Diaz-Byrd C, Dingemans AJM, Donadille B, Duyzend M, Elfeky R, Essaid S, Fabrizzi C, Fico G, Firth HV, Freudenberg-Hua Y, Fullerton JM, Gabriel DL, Gilmour K, Giordano J, Goes FS, Moses RG, Green I, Griese M, Groza T, Gu W, Guthrie J, Gyori B, Hamosh A, Hanauer M, Hanušová K, He YO, Hegde H, Helbig I, Holasová K, Hoyt CT, Huang S, Hurwitz E, Jacobsen JOB, Jiang X, Joseph L, Keramatian K, King B, Knoflach K, Koolen DA, Kraus ML, Kroll C, Kusters M, Ladewig MS, Lagorce D, Lai MC, Lapunzina P, Laraway B, Lewis-Smith D, Li X, Lucano C, Majd M, Marazita ML, Martinez-Glez V, McHenry TH, McInnis MG, McMurry JA, Mihulová M, Millett CE, Mitchell PB, Moslerová V, Narutomi K, Nematollahi S, Nevado J, et al.","Nucleic Acids Res. 2024 Jan 5;52(D1):D1333-D1346. doi: 10.1093/nar/gkad1005.","Gargano MA","Nucleic Acids Res","2024","2023/11/12","PMC10767975","","10.1093/nar/gkad1005"
"30660171","Dengue vaccine: Global development update","Prompetchara E, Ketloy C, Thomas SJ, Ruxrungtham K.","Asian Pac J Allergy Immunol. 2020 Sep;38(3):178-185. doi: 10.12932/AP-100518-0309.","Prompetchara E","Asian Pac J Allergy Immunol","2020","2019/01/21","","","10.12932/AP-100518-0309"
"35932095","Predictors of serious adverse events and non-response in cirrhotic patients with primary biliary cholangitis treated with obeticholic acid","De Vincentis A, D'Amato D, Cristoferi L, Gerussi A, Malinverno F, Lleo A, Colapietro F, Marra F, Galli A, Fiorini C, Coco B, Brunetto M, Niro GA, Cotugno R, Saitta C, Cozzolongo R, Losito F, Giannini EG, Labanca S, Marzioni M, Marconi G, Morgando A, Pellicano R, Vanni E, Cazzagon N, Floreani A, Chessa L, Morelli O, Muratori L, Pellicelli A, Pompili M, Ponziani F, Tortora A, Rosina F, Russello M, Cannavò M, Simone L, Storato S, Viganò M, Abenavoli L, D'Antò M, De Gasperi E, Distefano M, Scifo G, Zolfino T, Calvaruso V, Cuccorese G, Palitti VP, Sacco R, Bertino G, Frazzetto E, Alvaro D, Mulinacci G, Palermo A, Scaravaglio M, Terracciani F, Galati G, Ronca V, Zuin M, Claar E, Izzi A, Picardi A, Invernizzi P, Vespasiani-Gentilucci U, Carbone M; on behalf of the Club Epatologi Ospedalieri (CLEO)/Associazione Italiana Gastroenterologi ed Endoscopisti Digestivi Ospedalieri (AIGO) PBC Study Group and, the Italian PBC Registry.","Liver Int. 2022 Nov;42(11):2453-2465. doi: 10.1111/liv.15386. Epub 2022 Aug 23.","De Vincentis A","Liver Int","2022","2022/08/06","PMC9804305","","10.1111/liv.15386"
"36375329","Predicting efficacy of viloxazine extended-release treatment in adults with ADHD using an early change in ADHD symptoms: Machine learning Post Hoc analysis of a phase 3 clinical trial","Faraone SV, Gomeni R, Hull JT, Chaturvedi SA, Busse GD, Melyan Z, O'Neal W, Rubin J, Nasser A.","Psychiatry Res. 2022 Dec;318:114922. doi: 10.1016/j.psychres.2022.114922. Epub 2022 Oct 23.","Faraone SV","Psychiatry Res","2022","2022/11/14","","","10.1016/j.psychres.2022.114922"
"35879236","Professionalism and clinical short answer question marking with machine learning","Lam A, Lam L, Blacketer C, Parnis R, Franke K, Wagner M, Wang D, Tan Y, Oakden-Rayner L, Gallagher S, Perry SW, Licinio J, Symonds I, Thomas J, Duggan P, Bacchi S.","Intern Med J. 2022 Jul;52(7):1268-1271. doi: 10.1111/imj.15839.","Lam A","Intern Med J","2022","2022/07/25","","","10.1111/imj.15839"
"33185950","Analytics with artificial intelligence to advance the treatment of acute respiratory distress syndrome","Zhang Z, Navarese EP, Zheng B, Meng Q, Liu N, Ge H, Pan Q, Yu Y, Ma X.","J Evid Based Med. 2020 Nov;13(4):301-312. doi: 10.1111/jebm.12418. Epub 2020 Nov 13.","Zhang Z","J Evid Based Med","2020","2020/11/13","","","10.1111/jebm.12418"
"37523715","A Polygenic Risk Score for Idiopathic Pulmonary Fibrosis and Interstitial Lung Abnormalities","Moll M, Peljto AL, Kim JS, Xu H, Debban CL, Chen X, Menon A, Putman RK, Ghosh AJ, Saferali A, Nishino M, Hatabu H, Hobbs BD, Hecker J, McDermott G, Sparks JA, Wain LV, Allen RJ, Tobin MD, Raby BA, Chun S, Silverman EK, Zamora AC, Ortega VE, Garcia CK, Barr RG, Bleecker ER, Meyers DA, Kaner RJ, Rich SS, Manichaikul A, Rotter JI, Dupuis J, O'Connor GT, Fingerlin TE, Hunninghake GM, Schwartz DA, Cho MH.","Am J Respir Crit Care Med. 2023 Oct 1;208(7):791-801. doi: 10.1164/rccm.202212-2257OC.","Moll M","Am J Respir Crit Care Med","2023","2023/07/31","PMC10563194","","10.1164/rccm.202212-2257OC"
"30903561","Parent Perspectives Towards Genetic and Epigenetic Testing for Autism Spectrum Disorder","Wagner KE, McCormick JB, Barns S, Carney M, Middleton FA, Hicks SD.","J Autism Dev Disord. 2020 Sep;50(9):3114-3125. doi: 10.1007/s10803-019-03990-6.","Wagner KE","J Autism Dev Disord","2020","2019/03/24","PMC6755071","NIHMS1046827","10.1007/s10803-019-03990-6"
"37962958","Spliceosome malfunction causes neurodevelopmental disorders with overlapping features","Li D, Wang Q, Bayat A, Battig MR, Zhou Y, Bosch DG, van Haaften G, Granger L, Petersen AK, Pérez-Jurado LA, Aznar-Laín G, Aneja A, Hancarova M, Bendova S, Schwarz M, Kremlikova Pourova R, Sedlacek Z, Keena BA, March ME, Hou C, O'Connor N, Bhoj EJ, Harr MH, Lemire G, Boycott KM, Towne M, Li M, Tarnopolsky M, Brady L, Parker MJ, Faghfoury H, Parsley LK, Agolini E, Dentici ML, Novelli A, Wright M, Palmquist R, Lai K, Scala M, Striano P, Iacomino M, Zara F, Cooper A, Maarup TJ, Byler M, Lebel RR, Balci TB, Louie R, Lyons M, Douglas J, Nowak C, Afenjar A, Hoyer J, Keren B, Maas SM, Motazacker MM, Martinez-Agosto JA, Rabani AM, McCormick EM, Falk MJ, Ruggiero SM, Helbig I, Møller RS, Tessarollo L, Tomassoni Ardori F, Palko ME, Hsieh TC, Krawitz PM, Ganapathi M, Gelb BD, Jobanputra V, Wilson A, Greally J, Jacquemont S, Jizi K, Bruel AL, Quelin C, Misra VK, Chick E, Romano C, Greco D, Arena A, Morleo M, Nigro V, Seyama R, Uchiyama Y, Matsumoto N, Taira R, Tashiro K, Sakai Y, Yigit G, Wollnik B, Wagner M, Kutsche B, Hurst AC, Thompson ML, Schmidt R, Randolph L, Spillmann RC, Shashi V, et al.","J Clin Invest. 2024 Jan 2;134(1):e171235. doi: 10.1172/JCI171235.","Li D","J Clin Invest","2024","2023/11/14","PMC10760965","","10.1172/JCI171235"
"34541769","Medical student knowledge and critical appraisal of machine learning: a multicentre international cross-sectional study","Blacketer C, Parnis R, B Franke K, Wagner M, Wang D, Tan Y, Oakden-Rayner L, Gallagher S, Perry SW, Licinio J, Symonds I, Thomas J, Duggan P, Bacchi S.","Intern Med J. 2021 Sep;51(9):1539-1542. doi: 10.1111/imj.15479.","Blacketer C","Intern Med J","2021","2021/09/20","","","10.1111/imj.15479"
"37404783","Radiology: Cardiothoracic Imaging Highlights 2022","Mastrodicasa D, Aquino GJ, Ordovas KG, Vargas D, Fleischmann D, Abbara S, Hanneman K.","Radiol Cardiothorac Imaging. 2023 Jun 15;5(3):e230042. doi: 10.1148/ryct.230042. eCollection 2023 Jun.","Mastrodicasa D","Radiol Cardiothorac Imaging","2023","2023/07/05","PMC10316293","","10.1148/ryct.230042"
"35498827","Machine learning model for fast prediction of the natural frequencies of protein molecules","Qin Z, Yu Q, Buehler MJ.","RSC Adv. 2020 Apr 27;10(28):16607-16615. doi: 10.1039/c9ra04186a. eCollection 2020 Apr 23.","Qin Z","RSC Adv","2020","2022/05/02","PMC9053087","","10.1039/c9ra04186a"
"34598869","A Cascaded Deep Learning-Based Artificial Intelligence Algorithm for Automated Lesion Detection and Classification on Biparametric Prostate Magnetic Resonance Imaging","Mehralivand S, Yang D, Harmon SA, Xu D, Xu Z, Roth H, Masoudi S, Sanford TH, Kesani D, Lay NS, Merino MJ, Wood BJ, Pinto PA, Choyke PL, Turkbey B.","Acad Radiol. 2022 Aug;29(8):1159-1168. doi: 10.1016/j.acra.2021.08.019. Epub 2021 Sep 28.","Mehralivand S","Acad Radiol","2022","2021/10/02","PMC10575564","NIHMS1931735","10.1016/j.acra.2021.08.019"
"35025710","Recent advancements in understanding the genetic involvement of alpha-1 antitrypsin deficiency associated lung disease: a look at future precision medicine approaches","Ghosh AJ, Hobbs BD.","Expert Rev Respir Med. 2022 Feb;16(2):173-182. doi: 10.1080/17476348.2022.2027755. Epub 2022 Jan 13.","Ghosh AJ","Expert Rev Respir Med","2022","2022/01/13","PMC8983484","NIHMS1772649","10.1080/17476348.2022.2027755"
"32536571","Translating big data to better treatment in bipolar disorder - a manifesto for coordinated action","Manchia M, Vieta E, Smeland OB, Altimus C, Bechdolf A, Bellivier F, Bergink V, Fagiolini A, Geddes JR, Hajek T, Henry C, Kupka R, Lagerberg TV, Licht RW, Martinez-Cengotitabengoa M, Morken G, Nielsen RE, Pinto AG, Reif A, Rietschel M, Ritter P, Schulze TG, Scott J, Severus E, Yildiz A, Kessing LV, Bauer M, Goodwin GM, Andreassen OA; European College of Neuropsychopharmacology (ECNP) Bipolar Disorders Network.","Eur Neuropsychopharmacol. 2020 Jul;36:121-136. doi: 10.1016/j.euroneuro.2020.05.006. Epub 2020 Jun 12.","Manchia M","Eur Neuropsychopharmacol","2020","2020/06/16","","","10.1016/j.euroneuro.2020.05.006"
"33328030","Time to reality check the promises of machine learning-powered precision medicine","Wilkinson J, Arnold KF, Murray EJ, van Smeden M, Carr K, Sippy R, de Kamps M, Beam A, Konigorski S, Lippert C, Gilthorpe MS, Tennant PWG.","Lancet Digit Health. 2020 Dec;2(12):e677-e680. doi: 10.1016/S2589-7500(20)30200-4. Epub 2020 Sep 16.","Wilkinson J","Lancet Digit Health","2020","2020/12/17","PMC9060421","NIHMS1702565","10.1016/S2589-7500(20)30200-4"
"36651494","Machine Learning and MRI-based Diagnostic Models for ADHD: Are We There Yet?","Zhang-James Y, Razavi AS, Hoogman M, Franke B, Faraone SV.","J Atten Disord. 2023 Feb;27(4):335-353. doi: 10.1177/10870547221146256. Epub 2023 Jan 18.","Zhang-James Y","J Atten Disord","2023","2023/01/18","","","10.1177/10870547221146256"
"28921928","Inverted formins: A subfamily of atypical formins","Hegsted A, Yingling CV, Pruyne D.","Cytoskeleton (Hoboken). 2017 Nov;74(11):405-419. doi: 10.1002/cm.21409. Epub 2017 Sep 29.","Hegsted A","Cytoskeleton (Hoboken)","2017","2017/09/19","PMC5752148","NIHMS929096","10.1002/cm.21409"
"36311710","Editorial: New biomarkers for the diagnosis and treatment of systemic lupus erythematosus","Perl A, Agmon-Levin N, Crispín JC, Jorgensen TN.","Front Immunol. 2022 Oct 12;13:1009038. doi: 10.3389/fimmu.2022.1009038. eCollection 2022.","Perl A","Front Immunol","2022","2022/10/31","PMC9599399","","10.3389/fimmu.2022.1009038"
"35304245","Disintegration testing augmented by computer Vision technology","Floryanzia S, Ramesh P, Mills M, Kulkarni S, Chen G, Shah P, Lavrich D.","Int J Pharm. 2022 May 10;619:121668. doi: 10.1016/j.ijpharm.2022.121668. Epub 2022 Mar 15.","Floryanzia S","Int J Pharm","2022","2022/03/19","","","10.1016/j.ijpharm.2022.121668"
"35817312","Lithium response in bipolar disorder: Genetics, genomics, and beyond","Papiol S, Schulze TG, Heilbronner U.","Neurosci Lett. 2022 Aug 10;785:136786. doi: 10.1016/j.neulet.2022.136786. Epub 2022 Jul 8.","Papiol S","Neurosci Lett","2022","2022/07/11","","","10.1016/j.neulet.2022.136786"
"29722360","Gravity Spy: integrating advanced LIGO detector characterization, machine learning, and citizen science","Zevin M, Coughlin S, Bahaadini S, Besler E, Rohani N, Allen S, Cabero M, Crowston K, Katsaggelos AK, Larson SL, Lee TK, Lintott C, Littenberg TB, Lundgren A, Østerlund C, Smith JR, Trouille L, Kalogera V.","Class Quantum Gravity. 2017;34(No 6):064003. doi: 10.1088/1361-6382/aa5cea. Epub 2017 Feb 28.","Zevin M","Class Quantum Gravity","2017","2018/05/04","PMC5927381","NIHMS952746","10.1088/1361-6382/aa5cea"
"36411744","Role of Rucaparib in the Treatment of Prostate Cancer: Clinical Perspectives and Considerations","Wu MS, Goldberg H.","Cancer Manag Res. 2022 Nov 15;14:3159-3174. doi: 10.2147/CMAR.S353411. eCollection 2022.","Wu MS","Cancer Manag Res","2022","2022/11/22","PMC9675324","","10.2147/CMAR.S353411"
"32352709","Theranostic Gastrointestinal Endoscopy: Bringing Healing Light to the Lumen","Nassani N, Alsheikh M, Carroll B, Nguyen D, Carroll RE.","Clin Transl Gastroenterol. 2020 Mar;11(3):e00119. doi: 10.14309/ctg.0000000000000119.","Nassani N","Clin Transl Gastroenterol","2020","2020/05/01","PMC7145051","","10.14309/ctg.0000000000000119"
"27017833","The potential of genetic and gene expression analysis in the diagnosis of neuropsychiatric disorders","van de Leemput J, Glatt SJ, Tsuang MT.","Expert Rev Mol Diagn. 2016 Jun;16(6):677-95. doi: 10.1586/14737159.2016.1171714. Epub 2016 Apr 26.","van de Leemput J","Expert Rev Mol Diagn","2016","2016/03/29","","","10.1586/14737159.2016.1171714"
"30915218","Sepsis: The evolution in definition, pathophysiology, and management","Gyawali B, Ramakrishna K, Dhamoon AS.","SAGE Open Med. 2019 Mar 21;7:2050312119835043. doi: 10.1177/2050312119835043. eCollection 2019.","Gyawali B","SAGE Open Med","2019","2019/03/28","PMC6429642","","10.1177/2050312119835043"
"34228319","Radiologists and Clinical Trials: Part 1 The Truth About Reader Disagreements","Schmid AM, Raunig DL, Miller CG, Walovitch RC, Ford RW, O'Connor M, Brueggenwerth G, Breuer J, Kuney L, Ford RR.","Ther Innov Regul Sci. 2021 Nov;55(6):1111-1121. doi: 10.1007/s43441-021-00316-6. Epub 2021 Jul 6.","Schmid AM","Ther Innov Regul Sci","2021","2021/07/06","PMC8259547","","10.1007/s43441-021-00316-6"
"37561425","Immunotherapy in the Treatment of Localized Genitourinary Cancers","Necchi A, Faltas BM, Slovin SF, Meeks JJ, Pal SK, Schwartz LH, Huang RSP, Li R, Manley B, Chahoud J, Ross JS, Spiess PE.","JAMA Oncol. 2023 Oct 1;9(10):1447-1454. doi: 10.1001/jamaoncol.2023.2174.","Necchi A","JAMA Oncol","2023","2023/08/10","","","10.1001/jamaoncol.2023.2174"
"37832631","CRISPR-based precision medicine for hematologic disorders: Advancements, challenges, and prospects","Sahu S, Poplawska M, Lim SH, Dutta D.","Life Sci. 2023 Nov 15;333:122165. doi: 10.1016/j.lfs.2023.122165. Epub 2023 Oct 11.","Sahu S","Life Sci","2023","2023/10/13","","","10.1016/j.lfs.2023.122165"
"36172513","Structural brain morphometry as classifier and predictor of ADHD and reward-related comorbidities","van Rooij D, Zhang-James Y, Buitelaar J, Faraone SV, Reif A, Grimm O.","Front Psychiatry. 2022 Sep 12;13:869627. doi: 10.3389/fpsyt.2022.869627. eCollection 2022.","van Rooij D","Front Psychiatry","2022","2022/09/29","PMC9512052","","10.3389/fpsyt.2022.869627"
"33748314","Efficient Privacy-preserving Machine Learning in Hierarchical Distributed System","Jia Q, Guo L, Fang Y, Wang G.","IEEE Trans Netw Sci Eng. 2019 Oct-Dec;6(4):599-612. doi: 10.1109/tnse.2018.2859420. Epub 2018 Jul 24.","Jia Q","IEEE Trans Netw Sci Eng","2019","2021/03/22","PMC7970733","NIHMS1545932","10.1109/tnse.2018.2859420"
"34353116","Hematopoietic Stem Cells in Wound Healing Response","Urao N, Liu J, Takahashi K, Ganesh G.","Adv Wound Care (New Rochelle). 2022 Nov;11(11):598-621. doi: 10.1089/wound.2021.0065. Epub 2021 Sep 9.","Urao N","Adv Wound Care (New Rochelle)","2022","2021/08/06","PMC9419985","","10.1089/wound.2021.0065"
"32162711","Fracture risk assessment and clinical decision making for patients with metastatic bone disease","Damron TA, Mann KA.","J Orthop Res. 2020 Jun;38(6):1175-1190. doi: 10.1002/jor.24660. Epub 2020 Mar 23.","Damron TA","J Orthop Res","2020","2020/03/13","PMC7225068","NIHMS1577718","10.1002/jor.24660"
"37423513","Inflammatory subgroups of schizophrenia and their association with brain structure: A semi-supervised machine learning examination of heterogeneity","Alexandros Lalousis P, Schmaal L, Wood SJ, L E P Reniers R, Cropley VL, Watson A, Pantelis C, Suckling J, Barnes NM, Pariante C, Jones PB, Joyce E, Barnes TRE, Lawrie SM, Husain N, Dazzan P, Deakin B, Shannon Weickert C, Upthegrove R.","Brain Behav Immun. 2023 Oct;113:166-175. doi: 10.1016/j.bbi.2023.06.023. Epub 2023 Jul 7.","Alexandros Lalousis P","Brain Behav Immun","2023","2023/07/09","","","10.1016/j.bbi.2023.06.023"
"33537772","Federated learning improves site performance in multicenter deep learning without data sharing","Sarma KV, Harmon S, Sanford T, Roth HR, Xu Z, Tetreault J, Xu D, Flores MG, Raman AG, Kulkarni R, Wood BJ, Choyke PL, Priester AM, Marks LS, Raman SS, Enzmann D, Turkbey B, Speier W, Arnold CW.","J Am Med Inform Assoc. 2021 Jun 12;28(6):1259-1264. doi: 10.1093/jamia/ocaa341.","Sarma KV","J Am Med Inform Assoc","2021","2021/02/04","PMC8200268","","10.1093/jamia/ocaa341"
"32286748","Artificial Intelligence to Detect Papilledema from Ocular Fundus Photographs","Milea D, Najjar RP, Zhubo J, Ting D, Vasseneix C, Xu X, Aghsaei Fard M, Fonseca P, Vanikieti K, Lagrèze WA, La Morgia C, Cheung CY, Hamann S, Chiquet C, Sanda N, Yang H, Mejico LJ, Rougier M-B, Kho R, Thi Ha Chau T, Singhal S, Gohier P, Clermont-Vignal C, Cheng C-Y, Jonas JB, Yu-Wai-Man P, Fraser CL, Chen JJ, Ambika S, Miller NR, Liu Y, Newman NJ, Wong TY, Biousse V; BONSAI Group.","N Engl J Med. 2020 Apr 30;382(18):1687-1695. doi: 10.1056/NEJMoa1917130. Epub 2020 Apr 14.","Milea D","N Engl J Med","2020","2020/04/15","","","10.1056/NEJMoa1917130"
"31770722","Latest advances in aging research and drug discovery","Bakula D, Ablasser A, Aguzzi A, Antebi A, Barzilai N, Bittner MI, Jensen MB, Calkhoven CF, Chen D, Grey ADNJ, Feige JN, Georgievskaya A, Gladyshev VN, Golato T, Gudkov AV, Hoppe T, Kaeberlein M, Katajisto P, Kennedy BK, Lal U, Martin-Villalba A, Moskalev AA, Ozerov I, Petr MA, Reason, Rubinsztein DC, Tyshkovskiy A, Vanhaelen Q, Zhavoronkov A, Scheibye-Knudsen M.","Aging (Albany NY). 2019 Nov 21;11(22):9971-9981. doi: 10.18632/aging.102487. Epub 2019 Nov 21.","Bakula D","Aging (Albany NY)","2019","2019/11/27","PMC6914421","","10.18632/aging.102487"
"36700642","Virology under the Microscope-a Call for Rational Discourse","Goodrum F, Lowen AC, Lakdawala S, Alwine J, Casadevall A, Imperiale MJ, Atwood W, Avgousti D, Baines J, Banfield B, Banks L, Bhaduri-McIntosh S, Bhattacharya D, Blanco-Melo D, Bloom D, Boon A, Boulant S, Brandt C, Broadbent A, Brooke C, Cameron C, Campos S, Caposio P, Chan G, Cliffe A, Coffin J, Collins K, Damania B, Daugherty M, Debbink K, DeCaprio J, Dermody T, Dikeakos J, DiMaio D, Dinglasan R, Duprex WP, Dutch R, Elde N, Emerman M, Enquist L, Fane B, Fernandez-Sesma A, Flenniken M, Frappier L, Frieman M, Frueh K, Gack M, Gaglia M, Gallagher T, Galloway D, García-Sastre A, Geballe A, Glaunsinger B, Goff S, Greninger A, Hancock M, Harris E, Heaton N, Heise M, Heldwein E, Hogue B, Horner S, Hutchinson E, Hyser J, Jackson W, Kalejta R, Kamil J, Karst S, Kirchhoff F, Knipe D, Kowalik T, Lagunoff M, Laimins L, Langlois R, Lauring A, Lee B, Leib D, Liu SL, Longnecker R, Lopez C, Luftig M, Lund J, Manicassamy B, McFadden G, McIntosh M, Mehle A, Miller WA, Mohr I, Moody C, Moorman N, Moscona A, Mounce B, Munger J, Münger K, Murphy E, Naghavi M, Nelson J, Neufeldt C, Nikolich J, O'Connor C, et al.","mBio. 2023 Feb 28;14(1):e0018823. doi: 10.1128/mbio.00188-23. Epub 2023 Jan 26.","Goodrum F","mBio","2023","2023/01/26","PMC9973315","","10.1128/mbio.00188-23"
"36700640","Virology under the Microscope-a Call for Rational Discourse","Goodrum F, Lowen AC, Lakdawala S, Alwine J, Casadevall A, Imperiale MJ, Atwood W, Avgousti D, Baines J, Banfield B, Banks L, Bhaduri-McIntosh S, Bhattacharya D, Blanco-Melo D, Bloom D, Boon A, Boulant S, Brandt C, Broadbent A, Brooke C, Cameron C, Campos S, Caposio P, Chan G, Cliffe A, Coffin J, Collins K, Damania B, Daugherty M, Debbink K, DeCaprio J, Dermody T, Dikeakos J, DiMaio D, Dinglasan R, Duprex WP, Dutch R, Elde N, Emerman M, Enquist L, Fane B, Fernandez-Sesma A, Flenniken M, Frappier L, Frieman M, Frueh K, Gack M, Gaglia M, Gallagher T, Galloway D, García-Sastre A, Geballe A, Glaunsinger B, Goff S, Greninger A, Hancock M, Harris E, Heaton N, Heise M, Heldwein E, Hogue B, Horner S, Hutchinson E, Hyser J, Jackson W, Kalejta R, Kamil J, Karst S, Kirchhoff F, Knipe D, Kowalik T, Lagunoff M, Laimins L, Langlois R, Lauring A, Lee B, Leib D, Liu SL, Longnecker R, Lopez C, Luftig M, Lund J, Manicassamy B, McFadden G, McIntosh M, Mehle A, Miller WA, Mohr I, Moody C, Moorman N, Moscona A, Mounce B, Munger J, Münger K, Murphy E, Naghavi M, Nelson J, Neufeldt C, Nikolich J, O'Connor C, et al.","J Virol. 2023 Feb 28;97(2):e0008923. doi: 10.1128/jvi.00089-23. Epub 2023 Jan 26.","Goodrum F","J Virol","2023","2023/01/26","PMC9972907","","10.1128/jvi.00089-23"
"36236511","Association between Self-Reported Prior Night's Sleep and Single-Task Gait in Healthy, Young Adults: A Study Using Machine Learning","Boolani A, Martin J, Huang H, Yu LF, Stark M, Grin Z, Roy M, Yager C, Teymouri S, Bradley D, Martin R, Fulk G, Kakar RS.","Sensors (Basel). 2022 Sep 29;22(19):7406. doi: 10.3390/s22197406.","Boolani A","Sensors (Basel)","2022","2022/10/14","PMC9572361","","10.3390/s22197406"
"35900716","Older Patients with Lung Cancer: a Summary of Seminal Contributions to Optimal Patient Care","Basnet A, Alahmadi A, Gajra A.","Curr Oncol Rep. 2022 Nov;24(11):1607-1618. doi: 10.1007/s11912-022-01307-y. Epub 2022 Jul 28.","Basnet A","Curr Oncol Rep","2022","2022/07/28","","","10.1007/s11912-022-01307-y"
"35964688","Predicting Patient Demographics From Chest Radiographs With Deep Learning","Adleberg J, Wardeh A, Doo FX, Marinelli B, Cook TS, Mendelson DS, Kagen A.","J Am Coll Radiol. 2022 Oct;19(10):1151-1161. doi: 10.1016/j.jacr.2022.06.008. Epub 2022 Aug 11.","Adleberg J","J Am Coll Radiol","2022","2022/08/14","","","10.1016/j.jacr.2022.06.008"
"35237397","Mantle cell lymphoma management trends and novel agents: where are we going?","Pu JJ, Savani M, Huang N, Epner EM.","Ther Adv Hematol. 2022 Feb 26;13:20406207221080743. doi: 10.1177/20406207221080743. eCollection 2022.","Pu JJ","Ther Adv Hematol","2022","2022/03/03","PMC8882940","","10.1177/20406207221080743"
"37433967","Association of polygenic score and the involvement of cholinergic and glutamatergic pathways with lithium treatment response in patients with bipolar disorder","Amare AT, Thalamuthu A, Schubert KO, Fullerton JM, Ahmed M, Hartmann S, Papiol S, Heilbronner U, Degenhardt F, Tekola-Ayele F, Hou L, Hsu YH, Shekhtman T, Adli M, Akula N, Akiyama K, Ardau R, Arias B, Aubry JM, Hasler R, Richard-Lepouriel H, Perroud N, Backlund L, Bhattacharjee AK, Bellivier F, Benabarre A, Bengesser S, Biernacka JM, Birner A, Marie-Claire C, Cervantes P, Chen HC, Chillotti C, Cichon S, Cruceanu C, Czerski PM, Dalkner N, Del Zompo M, DePaulo JR, Étain B, Jamain S, Falkai P, Forstner AJ, Frisen L, Frye MA, Gard S, Garnham JS, Goes FS, Grigoroiu-Serbanescu M, Fallgatter AJ, Stegmaier S, Ethofer T, Biere S, Petrova K, Schuster C, Adorjan K, Budde M, Heilbronner M, Kalman JL, Kohshour MO, Reich-Erkelenz D, Schaupp SK, Schulte EC, Senner F, Vogl T, Anghelescu IG, Arolt V, Dannlowski U, Dietrich D, Figge C, Jäger M, Lang FU, Juckel G, Konrad C, Reimer J, Schmauß M, Schmitt A, Spitzer C, von Hagen M, Wiltfang J, Zimmermann J, Andlauer TFM, Fischer A, Bermpohl F, Ritter P, Matura S, Gryaznova A, Falkenberg I, Yildiz C, Kircher T, Schmidt J, Koch M, Gade K, Trost S, Haussleiter IS, Lambert M, Rohenkohl AC, Kraft V, Grof P, Hashimoto R, et al.","Mol Psychiatry. 2023 Jul 11. doi: 10.1038/s41380-023-02149-1. Online ahead of print.","Amare AT","Mol Psychiatry","2023","2023/07/11","","","10.1038/s41380-023-02149-1"
"36274531","Can machine learning identify childhood characteristics that predict future development of bipolar disorder a decade later?","Uchida M, Bukhari Q, DiSalvo M, Green A, Serra G, Hutt Vater C, Ghosh SS, Faraone SV, Gabrieli JDE, Biederman J.","J Psychiatr Res. 2022 Dec;156:261-267. doi: 10.1016/j.jpsychires.2022.09.051. Epub 2022 Oct 13.","Uchida M","J Psychiatr Res","2022","2022/10/24","PMC9999264","NIHMS1875951","10.1016/j.jpsychires.2022.09.051"
"37708996","Use of big data and machine learning algorithms to extract possible treatment targets in neurodevelopmental disorders","Malik MA, Faraone SV, Michoel T, Haavik J.","Pharmacol Ther. 2023 Oct;250:108530. doi: 10.1016/j.pharmthera.2023.108530. Epub 2023 Sep 12.","Malik MA","Pharmacol Ther","2023","2023/09/14","","","10.1016/j.pharmthera.2023.108530"
"31595035","Extracorporeal apheresis therapy for Alzheimer disease-targeting lipids, stress, and inflammation","Bornstein SR, Voit-Bak K, Rosenthal P, Tselmin S, Julius U, Schatz U, Boehm BO, Thuret S, Kempermann G, Reichmann H, Chrousos GP, Licinio J, Wong ML, Schally AV, Straube R.","Mol Psychiatry. 2020 Feb;25(2):275-282. doi: 10.1038/s41380-019-0542-x. Epub 2019 Oct 8.","Bornstein SR","Mol Psychiatry","2020","2019/10/10","","","10.1038/s41380-019-0542-x"
"37864295","Generative models for protein sequence modeling: recent advances and future directions","Mardikoraem M, Wang Z, Pascual N, Woldring D.","Brief Bioinform. 2023 Sep 22;24(6):bbad358. doi: 10.1093/bib/bbad358.","Mardikoraem M","Brief Bioinform","2023","2023/10/21","PMC10589401","","10.1093/bib/bbad358"
